,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
370,Rosé Brut Champagne N.V.,France,Champagne,Bollinger,4.2,8025,69.5,,Champagne
371,Brut Champagne 2008,France,Champagne,Dom Pérignon,4.6,8349,170.59,2008,Champagne
372,Rosé Brut Champagne (Vintage) N.V.,France,Champagne,Louis Roederer,4.2,8770,63.95,,Champagne
373,Ice Impérial (Demi-Sec) Champagne N.V.,France,Champagne,Moët & Chandon,4.2,10963,57.0,,Champagne
374,Brut Rosé Champagne N.V.,France,Champagne,Ruinart,4.3,11756,63.28,,Champagne
375,Brut Champagne N.V.,France,Champagne,Piper-Heidsieck,3.9,11839,37.82,,Champagne
376,Belle Epoque Brut Champagne N.V.,France,Champagne,Perrier-Jouët,4.5,12146,152.39,,Champagne
377,Brut Réserve Champagne N.V.,France,Champagne,Charles Heidsieck,4.1,12493,51.49,,Champagne
378,Black Label Champagne Brut N.V.,France,Champagne,Lanson,3.8,13652,33.5,,Champagne
379,Brut Rosé Champagne N.V.,France,Champagne,Billecart-Salmon,4.4,13969,59.0,,Champagne
380,Brut Rosé Champagne N.V.,France,Champagne,Veuve Clicquot,4.3,14193,53.9,,Champagne
381,Brut (R de Ruinart) Champagne N.V.,France,Champagne,Ruinart,4.2,14475,47.44,,Champagne
382,Grande Cuvée Brut Champagne N.V.,France,Champagne,Krug,4.6,16160,189.0,,Champagne
383,Classic Brut Champagne N.V.,France,Champagne,Deutz,4.0,16690,39.5,,Champagne
384,Brut Réserve Champagne N.V.,France,Champagne,Billecart-Salmon,4.2,17403,38.41,,Champagne
385,Royal Brut Champagne N.V.,France,Champagne,Pommery,3.9,17671,37.89,,Champagne
386,Réserve Brut Champagne N.V.,France,Champagne,Pol Roger,4.2,20136,38.5,,Champagne
387,Blanc de Blancs Brut Champagne N.V.,France,Champagne,Ruinart,4.4,21106,63.28,,Champagne
388,(Cordon Rouge) Brut Champagne N.V.,France,Champagne,G.H. Mumm,3.9,21726,37.69,,Champagne
389,Impérial Rosé Brut Champagne N.V.,France,Champagne,Moët & Chandon,4.1,22557,48.66,,Champagne
390,Brut Cuvée Champagne Rosé N.V.,France,Champagne,Laurent-Perrier,4.3,23316,69.0,,Champagne
391,Grand Brut Champagne N.V.,France,Champagne Grand Cru,Perrier-Jouët,4.1,26726,43.69,,Champagne
392,Brut (Réserve) Champagne N.V.,France,Champagne,Taittinger,4.1,30090,35.9,,Champagne
393,Special Cuvée Brut Aÿ Champagne N.V.,France,Champagne,Bollinger,4.2,37765,46.0,,Champagne
394,Brut Premier Champagne N.V.,France,Champagne Premier Cru,Louis Roederer,4.2,40004,36.48,,Champagne
395,Impérial Brut Champagne N.V.,France,Champagne,Moët & Chandon,4.1,76037,40.61,,Champagne
396,Brut (Carte Jaune) Champagne N.V.,France,Champagne,Veuve Clicquot,4.2,86839,43.6,,Champagne
397,Brut Champagne N.V.,France,Champagne,Dom Pérignon,4.6,94287,170.0,,Champagne
