,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
56,Château Les Vergnes Bordeaux White 2018,France,Bordeaux,Univitis,3.3,30,6.78,2018,White
57,Chante-Alouette Hermitage Blanc 1999,France,Hermitage,M. Chapoutier,3.4,30,55.95,1999,White
58,Pouilly-Fuissé L'Ancien Prieuré 2015,France,Pouilly-Fuissé,Régnard,3.7,31,43.16,2015,White
59,Châteauneuf-du-Pape (Tradition) Blanc 2018,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.1,31,49.9,2018,White
60,Pinot Blanc 2016,France,Alsace,Jean-Rémy Haeffelin,3.7,31,7.59,2016,White
61,Sancerre Blanc 2018,France,Sancerre,Alban Roblin,3.8,31,18.31,2018,White
62,Cavalcade Blanc 2018,France,Côtes du Roussillon,Château de Corneilla,4.1,31,12.14,2018,White
63,Meursault 1er Cru Les Genevrières 2017,France,Meursault Premier Cru,Domaine Henri Boillot,4.1,31,119.0,2017,White
64,Les Genêts 2016,France,Provence,Château de Roquefort,3.7,31,14.9,2016,White
65,Château de la Chesnaie Sur Lie 2017,France,Muscadet-Sevre et Maine,Chéreau-Carré,3.8,31,8.24,2017,White
66,Sauvignon Côtes de Gascogne 2019,France,Côtes de Gascogne,Domaine du Tariquet,3.7,32,5.9,2019,White
67,Chablis 2018,France,Chablis,Domaine Servin,3.6,32,16.5,2018,White
68,Sauvignon Touraine 2018,France,Touraine,Raphael Midoir,3.8,32,7.95,2018,White
69,Petit Chablis 2018,France,Petit Chablis,Gerard Tremblay,3.6,32,11.99,2018,White
70,Rully 2016,France,Rully,Chanson,3.6,32,21.95,2016,White
71,Bordeaux Blanc 2017,France,Bordeaux,Château Mont-Pérat,3.5,32,18.3,2017,White
72,Sancerre 2018,France,Sancerre,Monmousseau,4.1,32,19.5,2018,White
73,Vieilles Vignes Chassagne-Montrachet 2017,France,Chassagne-Montrachet,David Moret-Nomine,4.3,32,52.9,2017,White
74,Hermitage Blanc 2016,France,Hermitage,E. Guigal,4.0,32,52.01,2016,White
75,A Le Grand 2017,France,Bourgogne Aligoté,David Moret-Nomine,3.8,32,13.5,2017,White
76,Meursault-Blagny Premier Cru Château de Blagny 2017,France,Meursault 1er Cru 'Blagny',Louis Latour,4.1,33,53.51,2017,White
77,Luberon La Ciboise Blanc 2018,France,Luberon,M. Chapoutier,3.6,33,7.66,2018,White
78,Domaine San de Guilhem Colombard - Sauvignon Blanc Gascogne Blanc Sec 2016,France,Gascogne,Lionel Osmin & Cie,3.5,33,5.31,2016,White
79,Viognier Principauté d'Orange 2019,France,Vin de Pays,Domaine de la Janasse,4.0,33,14.9,2019,White
80,Riesling Alsace Grand Cru 'Geisberg' 2013,France,Alsace Grand Cru 'Geisberg',Trimbach,4.3,33,71.39,2013,White
81,Bâtard-Montrachet Grand Cru 2015,France,Bâtard-Montrachet Grand Cru,Domaine Henri Boillot,4.6,33,520.0,2015,White
82,Estate Gewürztraminer 2012,France,Alsace Grand Cru,Hugel,3.9,33,16.95,2012,White
83,Pouilly-Fumé 2018,France,Pouilly-Fumé,Langlois-Chateau,3.8,33,19.9,2018,White
84,Picpoul de Pinet 2019,France,Picpoul de Pinet,Gérard Bertrand,3.9,34,10.42,2019,White
85,Pouilly-Fuissé Pentacrine 2015,France,Pouilly-Fuissé,Domaine Saumaize-Michelin,3.9,34,23.49,2015,White
86,Pouilly-Fuissé 'Les Chailloux' 2017,France,Pouilly-Fuissé,Auvigue,3.9,34,25.9,2017,White
87,1769 Clos Venturi Blanc 2018,France,Vin de Corse,Domaine Vico,3.7,34,15.9,2018,White
88,Vignes Blanches Pouilly-Fuissé 2017,France,Pouilly-Fuissé,Domaine Saumaize-Michelin,4.1,34,25.15,2017,White
89,Montrachet Grand Cru Marquis de Laguiche 2017,France,Montrachet Grand Cru,Joseph Drouhin,4.9,34,681.37,2017,White
90,Baronne Charlotte Graves Blanc 2016,France,Graves,Baron Philippe de Rothschild,3.8,34,16.59,2016,White
