,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
58,Bandol Rosé 2017,France,Bandol,Château Pradeaux,4.1,77,19.95,2017,Rose
59,Tavel Rosé 2019,France,Tavel,Château d'Aqueria,3.8,77,15.42,2019,Rose
60,Bordeaux Rosé 2018,France,Bordeaux,Mouton Cadet,3.3,82,9.6,2018,Rose
61,Sancerre Rosé 2018,France,Sancerre,Michel Thomas & Fils,3.8,82,14.72,2018,Rose
62,Rosé Fleuri 2019,France,Coteaux d'Aix-en-Provence,Château Barbebelle,3.9,83,8.9,2019,Rose
63,Côtes de Provence Rosé 2017,France,Côtes de Provence,Château des Sarrins,3.8,83,13.6,2017,Rose
64,Côtes de Provence Rosé 2016,France,Côtes de Provence,Domaine Pinchinat,3.7,83,13.3,2016,Rose
65,Amstramgram Grande Cuvée Cérès 2018,France,Languedoc,Calmel & Joseph,4.0,83,7.75,2018,Rose
66,Bordeaux Rosé 2018,France,Bordeaux,Château Landonnet,3.2,87,8.78,2018,Rose
67,Héritage Côtes de Provence Rosé 2019,France,Provence,Estandon,3.7,90,9.85,2019,Rose
68,Le Rosé 2019,France,Pays d'Oc,Paul Mas,3.7,90,7.19,2019,Rose
69,Bandol Rosé 2016,France,Bandol,Domaine de la Tour du Bon,3.7,92,38.01,2016,Rose
70,Rose de Nymphe Emue 2019,France,Minervois,Château Maris,3.9,95,8.72,2019,Rose
71,Clos Beylesse Côtes de Provence Rosé 2018,France,Côtes de Provence,Domaine de l'Abbaye,4.3,96,45.0,2018,Rose
72,Rosé de Provence 2018,France,Coteaux Varois en Provence,Fortant,3.9,96,8.2,2018,Rose
73,Grézan Expression Faugères Rosé 2017,France,Faugères,Famille Cros Pujol,3.7,99,9.95,2017,Rose
74,No. 6 Rosé 2018,France,Côtes de Gascogne,Uby,4.0,100,6.49,2018,Rose
75,Terroir du Trias Delille Vigneron Bandol Rosé 2018,France,Bandol,Domaine de Terrebrune,4.0,105,25.9,2018,Rose
76,Les Clans Rosé 2017,France,Côtes de Provence,Château d'Esclans,4.3,119,62.54,2017,Rose
77,Clair de Rose 2017,France,Pays d'Oc,Les Jamelles,3.4,127,7.66,2017,Rose
78,Iirrésistible Côtes de Provence Rosé 2018,France,Côtes de Provence,Domaine de la Croix,3.9,134,12.2,2018,Rose
79,Romance Rosé 2019,France,Côtes de Provence,Château de Berne,4.0,142,9.26,2019,Rose
80,Cinsault 2018,France,Pays d'Oc,Les Jamelles,3.9,142,8.49,2018,Rose
81,Bandol Rosé 2015,France,Bandol,Domaine de la Tour du Bon,3.8,143,16.47,2015,Rose
82,Bandol Rosé 2017,France,Bandol,La Bastide Blanche,3.8,146,89.5,2017,Rose
83,Sancerre Rosé 2018,France,Sancerre,Pascal Jolivet,4.0,147,18.72,2018,Rose
84,Bandol Rosé 2018,France,Bandol,Château de Pibarnon,4.0,149,22.79,2018,Rose
85,Côtes de Gascogne Rosé 2019,France,Côtes de Gascogne,Horgelus,4.1,156,4.94,2019,Rose
86,Côtes de Provence Rosé 2019,France,Côtes de Provence,Château La Tour de l'Évêque,3.8,159,11.9,2019,Rose
87,Tavel Rosé 2017,France,Tavel,Famille Perrin,3.4,162,13.9,2017,Rose
88,Lumière de Provence Rosé 2019,France,Provence,Estandon,4.1,166,9.85,2019,Rose
89,Rosé 2019,France,Côtes de Provence,Ultimate Provence,4.0,167,16.79,2019,Rose
90,Rosé 2019,France,Pays d'Oc,L'Ostal Cazes,3.7,168,7.49,2019,Rose
91,Coteaux Varois en Provence 2017,France,Coteaux Varois en Provence,Domaine de Cala,4.1,169,12.7,2017,Rose
92,MiP Classic Côtes de Provence Rosé 2019,France,Côtes de Provence,Domaine des Diables,4.1,171,13.9,2019,Rose
