,Unnamed: 0,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
2824,2854,Pouilly-Fuissé 2018,France,Pouilly-Fuissé,Joseph Drouhin,3.9,159,22.32,2018.0,White
2825,2855,Chassagne-Montrachet Blanc 2014,France,Chassagne-Montrachet,Domaine Michel Niellon,4.1,160,49.95,2014.0,White
2826,2856,Prestige Blanc 2018,France,Côtes de Provence,Minuty,4.1,160,20.99,2018.0,White
2827,2857,Pouilly-Vinzelles 2017,France,Pouilly-Vinzelles,Joseph Drouhin,3.8,161,19.39,2017.0,White
2828,2858,Mâcon-Lugny Les Genievres 2018,France,Mâcon-Lugny,Louis Latour,3.9,162,10.63,2018.0,White
2829,2859,Beaune 1er Cru 'Clos des Mouches' Blanc 2016,France,Beaune 1er Cru 'Le Clos des Mouches',Joseph Drouhin,4.5,162,129.0,2016.0,White
2830,2860,Riesling 2017,France,Alsace,Marcel Deiss,3.8,162,23.9,2017.0,White
2831,2861,Condrieu Invitare 2017,France,Condrieu,M. Chapoutier,4.1,162,47.37,2017.0,White
2832,2862,Châteauneuf-du-Pape Blanc 2017,France,Châteauneuf-du-Pape,Château de Beaucastel,4.3,163,73.11,2017.0,White
2833,2863,Riesling - Muscat - Pinot Gris Alsace (W)3 2016,France,Alsace,Wolfberger,3.7,164,8.28,2016.0,White
2834,2864,Caroline Graves 2011,France,Graves,Château de Chantegrive,3.8,165,23.0,2011.0,White
2835,2865,Chardonnay 2018,France,Pays d'Oc,Domaines Astruc,3.7,165,6.5,2018.0,White
2836,2866,Viognier Secret de Famille 2018,France,Rhone Valley,Paul Jaboulet Aîné,3.8,166,9.3,2018.0,White
2837,2867,Clos Sainte Hune Riesling Alsace 2012,France,Alsace,Trimbach,4.5,166,193.03,2012.0,White
2838,2868,Aile d'Argent Blanc Bordeaux 2016,France,Bordeaux,Château Mouton Rothschild,4.1,166,100.0,2016.0,White
2839,2869,Château Grenouilles Chablis Grand Cru 2015,France,Chablis Grand Cru,La Chablisienne,4.3,169,54.0,2015.0,White
2840,2870,Chablis Tête d'Or 2016,France,Chablis,Billaud-Simon,4.0,170,24.27,2016.0,White
2841,2871,Sancerre Blanc 2019,France,Sancerre,Bernard Reverdy & Fils,3.8,172,17.45,2019.0,White
2842,2872,Mâcon-La Roche-Vineuse 2015,France,Mâcon-La Roche-Vineuse,Château de la Greffière,3.7,173,9.6,2015.0,White
2843,2873,Harmonie de Gascogne Blanc 2019,France,Côtes de Gascogne,Domaine de Pellehaut,3.9,175,5.52,2019.0,White
2844,2874,Chablis 2018,France,Chablis,Domaine Hamelin,3.8,175,15.8,2018.0,White
2845,2875,Vieilles Vignes Chardonnay 2018,France,Val de Loire,Moulin d'Argent,3.7,176,8.59,2018.0,White
2846,2876,Côté Chardonnay - Sauvignon 2018,France,Gascogne,Domaine du Tariquet,3.9,176,8.95,2018.0,White
2847,2877,Riesling Alsace Sélection de Vieilles Vignes 2016,France,Alsace,Trimbach,3.9,176,26.18,2016.0,White
2848,2878,Bourgogne Couvent Des Jacobins Blanc 2018,France,Bourgogne,Louis Jadot,3.9,177,16.48,2018.0,White
2849,2879,Mâcon-Milly-Lamartine 2017,France,Mâcon-Milly-Lamartine,Les Héritiers du Comte Lafon,4.0,177,20.9,2017.0,White
2850,2880,Mâcon-Villages 2015,France,Mâcon-Villages,Les Héritiers du Comte Lafon,3.8,178,22.22,2015.0,White
2851,2881,Collection Unique 2018,France,Côtes de Gascogne,Uby,3.9,179,5.8,2018.0,White
2852,2882,Riesling Réserve 2018,France,Alsace,Lucien Albrecht,3.9,181,9.57,2018.0,White
2853,2883,Bordeaux Blanc 2018,France,Bordeaux,Mouton Cadet,3.6,186,10.74,2018.0,White
2854,2884,Grande Cuvée Chablis 1er Cru 2017,France,Chablis Premier Cru,La Chablisienne,3.9,187,22.9,2017.0,White
2855,2885,Clairette du Languedoc Adissan Art de Vivre 2018,France,Clairette de Languedoc,Gérard Bertrand,3.8,188,15.95,2018.0,White
2856,2886,Chablis 2015,France,Chablis,Chanson,3.7,188,27.15,2015.0,White
2857,2887,Chateau de Fontaine-Audon Sancerre 2018,France,Sancerre,Langlois-Chateau,3.9,189,19.9,2018.0,White
2858,2888,Sancerre D'Antan 2014,France,Sancerre,Henri Bourgeois,4.3,192,38.0,2014.0,White
2859,2889,Domaine de L'Aigle Chardonnay Limoux 2017,France,Limoux,Gérard Bertrand,3.9,194,18.08,2017.0,White
2860,2890,Macon-Lugny 2018,France,Mâcon-Lugny,Louis Latour,3.8,194,13.55,2018.0,White
2861,2891,Terroir Littoral Chardonnay 2018,France,Pays d'Oc,Fortant,3.3,194,6.86,2018.0,White
2862,2892,Chardonnay 2019,France,Pays d'Oc,Laroche,3.4,194,8.45,2019.0,White
2863,2893,Aussières Blanc (Chardonnay) 2018,France,Pays d'Oc,Château d’Aussières,3.6,195,7.9,2018.0,White
2864,2894,Le Canon du Maréchal Muscat - Viognier 2018,France,Côtes Catalanes,Cazes,3.7,196,9.35,2018.0,White
2865,2895,Pouilly-Fumé 2017,France,Pouilly-Fumé,Le Domaine Saget,3.6,196,15.9,2017.0,White
2866,2896,Sancerre Le MD De Bourgeois 2017,France,Sancerre,Henri Bourgeois,4.1,197,24.95,2017.0,White
2867,2897,Collection Unique 2019,France,Côtes de Gascogne,Uby,3.9,198,5.99,2019.0,White
2868,2898,Chardonnay 2018,France,Pays d'Oc,La Chevalière,3.7,199,7.89,2018.0,White
2869,2899,Légende (R) Bordeaux Blanc 2018,France,Bordeaux,Barons de Rothschild (Lafite),3.6,199,9.9,2018.0,White
2870,2900,Crozes Hermitage Domaine Mule Blanche 2016,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.9,201,38.68,2016.0,White
2871,2901,Sauvignon Côtes de Gascogne 2018,France,Côtes de Gascogne,Domaine du Tariquet,3.6,201,7.0,2018.0,White
2872,2902,Vire-Clessé 2014,France,Viré-Clessé,Les Héritiers du Comte Lafon,4.0,203,36.33,2014.0,White
2873,2903,Chardonnay 2017,France,Pays d'Oc,Baron Philippe de Rothschild,3.4,204,8.69,2017.0,White
2874,2904,Côtes-du-Rhône Blanc 2018,France,Côtes-du-Rhône,E. Guigal,3.6,211,9.4,2018.0,White
2875,2905,Meursault 2017,France,Meursault,Joseph Drouhin,4.2,215,56.54,2017.0,White
